Edad,causasexternas_hombres,circulatorio_hombres,respiratorio_hombres,parasitarias_hombres,tumores_hombres,otros_hombres,causasexternas_mujeres,circulatorio_mujeres,respiratorio_mujeres,parasitarias_mujeres,tumores_mujeres,otros_mujeres
< 1 año,3.0241935483871,1.41129032258065,0.201612903225806,1.61290322580645,1.00806451612903,92.741935483871,3.04568527918782,2.79187817258883,0.50761421319797,2.28426395939086,0.761421319796954,90.6091370558376
1-4,29.9145299145299,5.98290598290598,6.83760683760684,1.70940170940171,25.6410256410256,29.9145299145299,14.0845070422535,1.40845070422535,7.04225352112676,8.45070422535211,25.3521126760563,43.6619718309859
5-9,17.910447761194,4.47761194029851,1.49253731343284,4.47761194029851,35.8208955223881,35.8208955223881,9.72222222222222,4.16666666666667,2.77777777777778,1.38888888888889,43.0555555555556,38.8888888888889
10-14,22.0183486238532,4.58715596330275,3.6697247706422,4.58715596330275,35.7798165137615,29.3577981651376,23.75,3.75,5,3.75,31.25,32.5
15-19,45.8677685950413,6.61157024793388,4.13223140495868,4.13223140495868,20.2479338842975,19.0082644628099,30.6569343065693,8.75912408759124,2.91970802919708,3.64963503649635,31.3868613138686,22.6277372262774
20-24,55.6768558951965,5.45851528384279,5.02183406113537,2.62008733624454,14.8471615720524,16.3755458515284,34.4370860927152,5.29801324503311,5.29801324503311,5.29801324503311,26.4900662251656,23.1788079470199
25-29,56.3793103448276,7.41379310344828,2.58620689655172,7.41379310344828,13.2758620689655,12.9310344827586,37.4485596707819,11.1111111111111,2.88065843621399,6.99588477366255,21.8106995884774,19.7530864197531
30-34,51.7688679245283,10.8490566037736,4.24528301886792,5.42452830188679,15.4481132075472,12.2641509433962,19.6808510638298,8.51063829787234,4.52127659574468,8.77659574468085,39.3617021276596,19.1489361702128
35-39,38.96,17.12,3.84,7.92,17.28,14.88,19.4160583941606,12.2627737226277,4.52554744525547,7.00729927007299,41.8978102189781,14.8905109489051
40-44,30.2683677958645,19.313682358117,4.79542454905411,7.25912890453146,22.085349758029,16.2780466344039,14.1075604053001,11.925175370226,3.03975058456742,5.84567420109119,49.5713172252533,15.510522213562
45-49,19.2740286298569,22.3159509202454,4.72903885480573,9.48364008179959,27.9652351738241,16.2321063394683,8.57946554149086,13.033286451008,3.7037037037037,7.82934833567745,52.3206751054852,14.5335208626348
50-54,11.8830510927775,22.8253003328991,4.12505427702996,9.91460413952815,33.434650455927,17.8173397018382,6.86781609195402,12.0402298850575,4.13793103448276,7.93103448275862,53.9942528735632,15.0287356321839
55-59,6.97828766473879,21.5985588318953,4.55105717265573,10.4674314971082,40.4475206219778,15.9571442116242,4.60377358490566,12.377358490566,4.28301886792453,9.33962264150943,54.8867924528302,14.5094339622642
60-64,4.35397039030956,20.5047106325707,5.45760430686406,12.3553162853297,43.1628532974428,14.1655450874832,3.02518643590826,14.4364710848459,4.51667370198396,9.99015055579007,52.8774447727593,15.1540734487125
65-69,3.0982905982906,19.4551282051282,6.34615384615385,14.1185897435897,42.3931623931624,14.5886752136752,2.41606170598911,15.562613430127,6.02313974591652,12.046279491833,46.8012704174229,17.1506352087114
70-74,2.67402709263174,19.6891394565813,7.36434108527132,16.0245869548195,38.0393078067497,16.2085976039464,2.28265782733163,18.9242127467229,6.16242278137713,14.8335091155643,37.3964140424891,20.400783486515
75-79,2.18127582885374,20.2684647173974,9.11972159214492,18.5128794705279,31.9174719572445,18.0001864338315,1.94136291600634,22.0087163232964,6.36390649762282,16.773969889065,27.3870839936609,25.5249603803487
80-84,2.31822702812986,22.1238938053097,10.6628242074928,19.3058070439418,24.7787610619469,20.810486853179,1.95211574898088,25.3832462536602,7.5845438364816,17.1470402480335,18.5881609921341,29.3448929207097
85-89,2.19540324573688,24.2359337671966,12.089134195568,19.251997693385,18.7144740093912,23.5130570887223,1.88483633026276,28.2521499711071,8.04582072810089,17.5804752031,12.5565110982698,31.6802066691594
90-94,2.157818135797,26.9062836170347,13.1335822312219,18.4395367968107,13.3930266405113,25.9697525786243,1.88743747525999,30.8719277411926,8.66529921911548,16.9059699881248,8.11292237935874,33.5564431969484
95+,2.54070495616389,28.4397924494543,14.4301306137055,17.9638575773842,9.50080515297907,27.1247092503131,1.84434144457319,32.9696150379812,9.24423844470194,16.0132612334235,5.00836873953908,34.9201750997811
Todas las edades,4.10832158420918,22.408517046911,9.54683094078442,16.7573218405537,26.9350006408613,20.2440079466803,2.38456118502982,26.1793766795569,7.61453758930327,15.9594776168316,18.6365274955758,29.2255194337026
